ProductID,ProductName,Date,Quantity,InventoryAge,ShelfLife,rolling_7d_sales,ExpiryRisk,PredictedExpiryRisk
P0001,Atque Beverage (Local),2024-11-30,16.05000000000006,60,30.0,0.0,1,1
P0002,Repellat Cleaning Supplie (Premium),2024-11-30,33.39000000000004,60,30.0,0.0,1,1
P0003,Amul Milk 1L (Local),2024-11-30,30.02000000000004,60,30.0,1.762857142857143,1,1
P0004,Facere Beverage (Local),2024-11-30,21.370000000000033,60,30.0,3.2571428571428567,1,1
P0005,Atque Snack (Local),2024-11-30,60.13000000000003,60,30.0,2.2142857142857144,1,1
P0006,Potatoes (Premium),2024-11-30,29.869999999999944,60,30.0,0.0,1,1
P0007,Molestiae Personal Car (Premium),2024-11-30,30.000000000000068,60,30.0,2.8214285714285716,1,1
P0008,Nobis Beverage (BrandX),2024-11-30,34.580000000000005,60,30.0,3.232857142857143,1,1
P0009,Consectetur Snack (Local),2024-11-30,62.26000000000008,60,30.0,0.0,1,1
P0010,Tempora Cleaning Supplie (Premium),2024-11-30,36.51,60,30.0,0.0,1,1
P0011,Repudiandae Beverage (Local),2024-11-30,71.2,60,30.0,1.4614285714285715,1,1
P0012,Quaerat Beverage (Premium),2024-11-30,64.17000000000002,60,30.0,2.751428571428572,1,1
P0013,Adipisci Beverage (Local),2024-11-30,61.90000000000003,60,30.0,1.74,1,1
P0014,Apples (Premium),2024-11-30,18.56,60,30.0,0.0,1,1
P0015,Mangoes (BrandX),2024-11-30,29.19000000000005,60,30.0,1.69,1,1
P0016,Wheat Flour 10kg (Premium),2024-11-30,27.679999999999996,60,30.0,3.394285714285714,1,1
P0017,Repellendus Personal Car (Local),2024-11-30,49.910000000000075,60,30.0,0.0,1,1
P0018,Bananas (Premium),2024-11-30,29.659999999999947,60,30.0,0.0,1,1
P0019,Quae Snack (Premium),2024-11-30,36.23000000000001,60,30.0,2.3528571428571428,1,1
P0020,Turmeric Powder 200g (Premium),2024-11-30,24.37000000000004,60,30.0,0.0,1,1
P0021,Bananas (BrandX),2024-11-30,43.96000000000007,60,30.0,0.0,1,1
P0022,Ladyfinger (Local),2024-11-30,49.660000000000025,60,30.0,0.0,1,1
P0023,Turmeric Powder 200g (Premium),2024-11-30,43.129999999999995,60,30.0,2.4385714285714286,1,1
P0024,Quam Cleaning Supplie (Premium),2024-11-30,26.18999999999997,60,30.0,2.2471428571428573,1,1
P0025,Toor Dal 1kg (Premium),2024-11-30,28.580000000000016,60,30.0,2.9171428571428573,1,1
P0026,Laudantium Personal Car (Premium),2024-11-30,38.020000000000074,60,30.0,2.5471428571428567,1,1
P0027,Oranges (Local),2024-11-30,52.1799999999999,60,30.0,3.5442857142857145,1,1
P0028,Dicta Beverage (BrandX),2024-11-30,30.909999999999968,60,30.0,0.0,1,1
P0029,Turmeric Powder 200g (Premium),2024-11-30,83.37000000000005,60,30.0,3.051428571428571,1,1
P0030,Voluptatibus Beverage (Local),2024-11-30,36.50000000000001,60,30.0,3.5800000000000005,1,1
P0031,Asperiores Personal Car (Premium),2024-11-30,80.28,60,30.0,2.66,1,1
P0032,Fresh Tomatoes (BrandX),2024-11-30,16.580000000000005,60,30.0,2.9071428571428575,1,1
P0033,Toor Dal 1kg (BrandX),2024-11-30,59.910000000000025,60,30.0,2.9414285714285713,1,1
P0034,Sunflower Oil 1L (Premium),2024-11-30,34.65000000000002,60,30.0,2.65,1,1
P0035,Basmati Rice 5kg (Local),2024-11-30,67.04999999999997,60,30.0,2.551428571428571,1,1
P0036,Necessitatibus Cleaning Supplie (Premium),2024-11-30,47.209999999999994,60,30.0,0.0,1,1
P0037,Dignissimos Personal Car (BrandX),2024-11-30,58.14999999999998,60,30.0,2.407142857142857,1,1
P0038,Doloremque Personal Car (Local),2024-11-30,45.76,60,30.0,0.0,1,1
P0039,Turmeric Powder 200g (Local),2024-11-30,60.64000000000005,60,30.0,0.0,1,1
