OrderDate,ProductID,ProductName,Quantity,expected_no_promo,uplift,Category,MAE,RMSE
2024-01-01,P0001,Atque Beverage (Local),3.87,3.489006757736206,0.380993242263794,Beverages,2.494648948550224,2.9155207229429343
2024-01-04,P0001,Atque Beverage (Local),5.02,2.6441404819488525,2.375859518051147,Beverages,2.494648948550224,2.9155207229429343
2024-01-07,P0001,Atque Beverage (Local),5.95,1.657561182975769,4.292438817024231,Beverages,2.494648948550224,2.9155207229429343
2024-01-10,P0001,Atque Beverage (Local),4.06,4.048541069030762,0.0114589309692378,Beverages,2.494648948550224,2.9155207229429343
2024-01-15,P0001,Atque Beverage (Local),4.71,3.073158025741577,1.6368419742584228,Beverages,2.494648948550224,2.9155207229429343
2024-01-18,P0001,Atque Beverage (Local),4.63,1.4775348901748655,3.152465109825134,Beverages,2.494648948550224,2.9155207229429343
2024-01-20,P0001,Atque Beverage (Local),3.4,1.9663408994674685,1.4336591005325316,Beverages,2.494648948550224,2.9155207229429343
2024-01-23,P0001,Atque Beverage (Local),3.63,0.972434937953949,2.657565062046051,Beverages,2.494648948550224,2.9155207229429343
2024-01-26,P0001,Atque Beverage (Local),5.67,1.0728379487991333,4.597162051200867,Beverages,2.494648948550224,2.9155207229429343
2024-01-27,P0001,Atque Beverage (Local),0.73,3.06077241897583,-2.33077241897583,Beverages,2.494648948550224,2.9155207229429343
2024-01-30,P0001,Atque Beverage (Local),2.37,2.4143314361572266,-0.0443314361572264,Beverages,2.494648948550224,2.9155207229429343
2024-02-04,P0001,Atque Beverage (Local),2.63,2.09504771232605,0.5349522876739501,Beverages,2.494648948550224,2.9155207229429343
2024-02-14,P0001,Atque Beverage (Local),3.82,3.7473583221435542,0.0726416778564451,Beverages,2.494648948550224,2.9155207229429343
2024-02-15,P0001,Atque Beverage (Local),1.26,2.513706922531128,-1.253706922531128,Beverages,2.494648948550224,2.9155207229429343
2024-02-18,P0001,Atque Beverage (Local),5.18,3.0575642585754395,2.1224357414245603,Beverages,2.494648948550224,2.9155207229429343
2024-02-20,P0001,Atque Beverage (Local),4.41,4.60249137878418,-0.1924913787841795,Beverages,2.494648948550224,2.9155207229429343
2024-02-27,P0001,Atque Beverage (Local),6.35,3.6011741161346436,2.748825883865356,Beverages,2.494648948550224,2.9155207229429343
2024-03-05,P0001,Atque Beverage (Local),4.92,2.842005968093872,2.077994031906128,Beverages,2.494648948550224,2.9155207229429343
2024-03-07,P0001,Atque Beverage (Local),3.28,2.6482903957366943,0.6317096042633055,Beverages,2.494648948550224,2.9155207229429343
2024-03-08,P0001,Atque Beverage (Local),3.66,3.035997152328491,0.6240028476715089,Beverages,2.494648948550224,2.9155207229429343
2024-03-14,P0001,Atque Beverage (Local),3.18,3.131965160369873,0.0480348396301271,Beverages,2.494648948550224,2.9155207229429343
2024-03-17,P0001,Atque Beverage (Local),0.1,3.473529100418091,-3.3735291004180907,Beverages,2.494648948550224,2.9155207229429343
2024-03-18,P0001,Atque Beverage (Local),0.1,4.004964351654053,-3.9049643516540526,Beverages,2.494648948550224,2.9155207229429343
2024-03-28,P0001,Atque Beverage (Local),1.14,3.330213785171509,-2.190213785171509,Beverages,2.494648948550224,2.9155207229429343
2024-04-02,P0001,Atque Beverage (Local),2.16,2.8242673873901367,-0.6642673873901366,Beverages,2.494648948550224,2.9155207229429343
2024-04-06,P0001,Atque Beverage (Local),4.02,2.551731824874878,1.4682681751251216,Beverages,2.494648948550224,2.9155207229429343
2024-04-07,P0001,Atque Beverage (Local),4.48,3.9566397666931152,0.5233602333068852,Beverages,2.494648948550224,2.9155207229429343
2024-05-06,P0001,Atque Beverage (Local),6.85,3.954735517501831,2.8952644824981686,Beverages,2.494648948550224,2.9155207229429343
2024-05-08,P0001,Atque Beverage (Local),2.63,3.495211124420166,-0.8652111244201661,Beverages,2.494648948550224,2.9155207229429343
2024-05-18,P0001,Atque Beverage (Local),0.1,2.271322250366211,-2.171322250366211,Beverages,2.494648948550224,2.9155207229429343
2024-05-31,P0001,Atque Beverage (Local),4.64,1.8689568042755127,2.771043195724487,Beverages,2.494648948550224,2.9155207229429343
2024-06-04,P0001,Atque Beverage (Local),4.53,2.2058637142181396,2.3241362857818606,Beverages,2.494648948550224,2.9155207229429343
2024-06-06,P0001,Atque Beverage (Local),3.12,2.231912136077881,0.8880878639221192,Beverages,2.494648948550224,2.9155207229429343
2024-06-14,P0001,Atque Beverage (Local),2.21,2.4690804481506348,-0.2590804481506348,Beverages,2.494648948550224,2.9155207229429343
2024-06-18,P0001,Atque Beverage (Local),2.72,2.45064377784729,0.2693562221527101,Beverages,2.494648948550224,2.9155207229429343
2024-06-20,P0001,Atque Beverage (Local),0.62,1.693159103393555,-1.0731591033935546,Beverages,2.494648948550224,2.9155207229429343
2024-07-03,P0001,Atque Beverage (Local),0.1,2.5775368213653564,-2.4775368213653564,Beverages,2.494648948550224,2.9155207229429343
2024-07-04,P0001,Atque Beverage (Local),3.41,3.5787925720214844,-0.1687925720214842,Beverages,2.494648948550224,2.9155207229429343
2024-07-14,P0001,Atque Beverage (Local),1.6,2.2085084915161133,-0.6085084915161132,Beverages,2.494648948550224,2.9155207229429343
2024-07-23,P0001,Atque Beverage (Local),4.27,4.301101207733154,-0.0311012077331547,Beverages,2.494648948550224,2.9155207229429343
2024-07-27,P0001,Atque Beverage (Local),1.96,2.8063926696777344,-0.8463926696777344,Beverages,2.494648948550224,2.9155207229429343
2024-07-29,P0001,Atque Beverage (Local),0.27,3.641046285629273,-3.3710462856292724,Beverages,2.494648948550224,2.9155207229429343
2024-07-30,P0001,Atque Beverage (Local),4.02,3.162339448928833,0.8576605510711666,Beverages,2.494648948550224,2.9155207229429343
2024-08-03,P0001,Atque Beverage (Local),2.17,4.342587947845459,-2.172587947845459,Beverages,2.494648948550224,2.9155207229429343
2024-08-11,P0001,Atque Beverage (Local),3.48,3.148886203765869,0.3311137962341308,Beverages,2.494648948550224,2.9155207229429343
2024-08-17,P0001,Atque Beverage (Local),2.17,3.963287591934204,-1.7932875919342042,Beverages,2.494648948550224,2.9155207229429343
2024-08-26,P0001,Atque Beverage (Local),1.07,2.5818235874176025,-1.5118235874176025,Beverages,2.494648948550224,2.9155207229429343
2024-08-28,P0001,Atque Beverage (Local),3.45,1.621101140975952,1.828898859024048,Beverages,2.494648948550224,2.9155207229429343
2024-08-31,P0001,Atque Beverage (Local),3.0,3.277280330657959,-0.277280330657959,Beverages,2.494648948550224,2.9155207229429343
2024-09-09,P0001,Atque Beverage (Local),1.77,2.773568868637085,-1.003568868637085,Beverages,2.494648948550224,2.9155207229429343
2024-09-18,P0001,Atque Beverage (Local),3.59,3.1478383541107178,0.4421616458892821,Beverages,2.494648948550224,2.9155207229429343
2024-09-19,P0001,Atque Beverage (Local),0.94,2.652919292449951,-1.7129192924499512,Beverages,2.494648948550224,2.9155207229429343
2024-09-24,P0001,Atque Beverage (Local),1.18,4.343725204467773,-3.1637252044677737,Beverages,2.494648948550224,2.9155207229429343
2024-10-07,P0001,Atque Beverage (Local),5.27,3.880522966384888,1.389477033615112,Beverages,2.494648948550224,2.9155207229429343
