ProductID,ProductName,Category,OptimalPrice,ExpectedRevenue,MAE,RMSE
P0001,Atque Beverage (Local),Beverages,305.72,969.37,674.8703068782553,782.5118135922556
P0002,Repellat Cleaning Supplie (Premium),Cleaning Supplies,155.98,468.27,325.7676840234375,378.3394991323147
P0003,Amul Milk 1L (Local),Dairy,66.8,217.5,127.45522379028321,164.59905138483174
P0004,Facere Beverage (Local),Beverages,18.5,69.7,25.96919177581787,33.53174906011617
P0005,Atque Snack (Local),Snacks,418.44,956.76,808.0920066861978,1017.8289495468775
P0006,Potatoes (Premium),Vegetables,250.22,772.15,522.4987131168621,646.4076603683764
P0007,Molestiae Personal Car (Premium),Personal Care,172.72,608.84,285.7120743863932,334.7785979088819
P0008,Nobis Beverage (BrandX),Beverages,104.59,311.5,179.36285767618818,211.74588835830107
P0009,Consectetur Snack (Local),Snacks,113.62,471.71,231.7341352575684,274.8363533512589
P0010,Tempora Cleaning Supplie (Premium),Cleaning Supplies,268.12,1009.81,469.2814157324219,532.7655490447863
P0011,Repudiandae Beverage (Local),Beverages,238.55,938.0,560.3360460546875,691.662054776845
P0012,Quaerat Beverage (Premium),Beverages,168.29,739.73,312.23603576497396,400.9798764251016
P0013,Adipisci Beverage (Local),Beverages,24.62,69.56,38.768255325317384,46.764885012005955
P0014,Apples (Premium),Fruits,176.67,755.14,355.81171631184895,434.3814840001182
P0015,Mangoes (BrandX),Fruits,167.37,567.46,323.2564404158529,376.4801964234612
P0016,Wheat Flour 10kg (Premium),Staples,178.72,521.5,362.04628027506516,466.68848292481647
P0017,Repellendus Personal Car (Local),Personal Care,152.01,568.62,312.1200941975912,395.0775069208674
P0018,Bananas (Premium),Fruits,64.24,267.37,106.57868407307942,130.84458063943762
P0019,Quae Snack (Premium),Snacks,220.38,866.17,410.9055853434245,503.11344742052734
P0020,Turmeric Powder 200g (Premium),Staples,87.36,305.68,204.47993649495444,239.39508042093112
P0021,Bananas (BrandX),Fruits,8.01,37.7,16.27410292561849,18.85572196139615
P0022,Ladyfinger (Local),Vegetables,152.92,698.39,229.67520579589842,299.36479880148124
P0023,Turmeric Powder 200g (Premium),Staples,231.64,749.13,355.8746501546223,429.38487408942024
P0024,Quam Cleaning Supplie (Premium),Cleaning Supplies,211.69,759.81,356.50764159261064,433.62018122368397
P0025,Toor Dal 1kg (Premium),Staples,163.83,439.93,292.99357665852864,357.4370241263718
P0026,Laudantium Personal Car (Premium),Personal Care,56.82,184.53,77.48591719502768,89.52992830478591
P0027,Oranges (Local),Fruits,131.93,296.24,257.27035664794926,324.68542730808633
P0028,Dicta Beverage (BrandX),Beverages,36.66,142.26,82.73944039978026,101.2658041154294
P0029,Turmeric Powder 200g (Premium),Staples,187.25,546.05,409.67689280436196,476.3553101454498
P0030,Voluptatibus Beverage (Local),Beverages,9.53,21.5,14.654104358927409,19.06186697218842
P0031,Asperiores Personal Car (Premium),Personal Care,188.71,913.77,270.69691556477864,337.2143667958746
P0032,Fresh Tomatoes (BrandX),Vegetables,9.52,39.45,16.277113887736004,20.54355460454535
P0033,Toor Dal 1kg (BrandX),Staples,131.26,548.94,260.9912287980143,316.48880169170974
P0034,Sunflower Oil 1L (Premium),Staples,176.03,536.17,310.36015390340174,382.8590968400812
P0035,Basmati Rice 5kg (Local),Staples,81.32,373.81,148.71627382405595,171.81288242350664
P0036,Necessitatibus Cleaning Supplie (Premium),Cleaning Supplies,120.35,365.28,133.89316915934245,176.55232556899975
P0037,Dignissimos Personal Car (BrandX),Personal Care,157.08,576.04,349.2124648502604,442.0071824960475
P0038,Doloremque Personal Car (Local),Personal Care,15.24,62.4,28.427505707397458,35.71513321211141
P0039,Turmeric Powder 200g (Local),Staples,80.82,380.0,143.84957617919923,176.00675994531196
P0040,Non Snack (Local),Snacks,128.91,212.35,233.77694242513022,277.104379332784
P0041,Mangoes (Premium),Fruits,71.33,328.81,120.98778114827476,156.6580167115137
P0042,Accusantium Beverage (BrandX),Beverages,103.44,448.85,216.36378318115231,244.78605376274308
P0043,Adipisci Personal Car (BrandX),Personal Care,8.92,33.85,17.356861848449704,21.04052744488993
P0044,Expedita Snack (BrandX),Snacks,215.68,708.57,360.4751733675129,426.17802186278533
