OrderDate,ProductID,ProductName,Quantity,expected_no_promo,uplift
2025-05-15,P0167,Saree 80,3,1.1563599109649658,1.8436400890350342
2025-05-26,P0167,Saree 80,3,1.4529691934585571,1.5470308065414429
2025-06-02,P0167,Saree 80,1,0.9422114491462708,0.05778855085372925
2025-06-04,P0167,Saree 80,1,1.6781184673309326,-0.6781184673309326
2025-06-15,P0167,Saree 80,4,2.951718330383301,1.0482816696166992
2025-06-16,P0167,Saree 80,1,0.9724137187004089,0.027586281299591064
2025-06-22,P0167,Saree 80,1,3.902341842651367,-2.902341842651367
2025-06-24,P0167,Saree 80,2,1.0744786262512207,0.9255213737487793
2025-07-01,P0167,Saree 80,3,1.016111135482788,1.983888864517212
2025-07-05,P0167,Saree 80,4,1.3683487176895142,2.631651282310486
2025-07-06,P0167,Saree 80,5,3.694291114807129,1.305708885192871
2025-07-10,P0167,Saree 80,4,1.058071255683899,2.941928744316101
2025-07-11,P0167,Saree 80,3,1.3443090915679932,1.6556909084320068
