OrderDate,ProductID,ProductName,Quantity,expected_no_promo,uplift
2025-05-14,T0036,Lattu 28,2,1.787617564201355,0.21238243579864502
2025-05-29,T0036,Lattu 28,1,0.935410737991333,0.06458926200866699
2025-06-04,T0036,Lattu 28,3,2.319808006286621,0.6801919937133789
2025-06-05,T0036,Lattu 28,1,1.5179840326309204,-0.5179840326309204
2025-06-10,T0036,Lattu 28,1,1.8581984043121338,-0.8581984043121338
2025-06-11,T0036,Lattu 28,2,1.0290457010269165,0.9709542989730835
2025-06-12,T0036,Lattu 28,2,1.6241172552108765,0.37588274478912354
2025-06-15,T0036,Lattu 28,1,1.7239125967025757,-0.7239125967025757
2025-06-26,T0036,Lattu 28,3,2.616161823272705,0.3838381767272949
2025-06-27,T0036,Lattu 28,3,2.301480293273926,0.6985197067260742
2025-06-30,T0036,Lattu 28,2,2.584346294403076,-0.5843462944030762
2025-07-07,T0036,Lattu 28,5,1.5061193704605103,3.4938806295394897
2025-07-08,T0036,Lattu 28,2,0.9761680960655212,1.0238319039344788
