OrderDate,ProductID,ProductName,Quantity,expected_no_promo,uplift
2025-05-16,T0101,Stuffed Elephant 28,3,1.1037448644638062,1.8962551355361938
2025-05-22,T0101,Stuffed Elephant 28,1,1.186017394065857,-0.18601739406585693
2025-05-23,T0101,Stuffed Elephant 28,1,1.152036190032959,-0.15203619003295898
2025-05-26,T0101,Stuffed Elephant 28,3,1.9671217203140259,1.0328782796859741
2025-05-28,T0101,Stuffed Elephant 28,1,1.9875941276550293,-0.9875941276550293
2025-06-01,T0101,Stuffed Elephant 28,2,2.2305290699005127,-0.2305290699005127
2025-06-06,T0101,Stuffed Elephant 28,2,1.4204312562942505,0.5795687437057495
2025-06-11,T0101,Stuffed Elephant 28,2,1.6093571186065674,0.3906428813934326
2025-06-12,T0101,Stuffed Elephant 28,2,1.5055911540985107,0.49440884590148926
2025-06-14,T0101,Stuffed Elephant 28,1,2.79923152923584,-1.7992315292358398
2025-06-16,T0101,Stuffed Elephant 28,2,1.7873640060424805,0.21263599395751953
2025-06-17,T0101,Stuffed Elephant 28,3,1.7809369564056396,1.2190630435943604
2025-06-18,T0101,Stuffed Elephant 28,3,1.508806586265564,1.491193413734436
2025-06-23,T0101,Stuffed Elephant 28,5,1.7692075967788696,3.2307924032211304
2025-06-26,T0101,Stuffed Elephant 28,3,1.2593573331832886,1.7406426668167114
2025-07-02,T0101,Stuffed Elephant 28,2,1.231143832206726,0.7688561677932739
2025-07-03,T0101,Stuffed Elephant 28,1,1.13408625125885,-0.1340862512588501
2025-07-07,T0101,Stuffed Elephant 28,1,1.011051058769226,-0.011051058769226074
2025-07-09,T0101,Stuffed Elephant 28,1,1.8141918182373047,-0.8141918182373047
