OrderDate,ProductID,ProductName,Quantity,expected_no_promo,uplift
2024-01-02,P0005,Atque Snack (Local),2.04,4.2656731605529785,-2.2256731605529785
2024-01-04,P0005,Atque Snack (Local),0.75,2.950592041015625,-2.200592041015625
2024-01-07,P0005,Atque Snack (Local),8.18,2.5592808723449707,5.620719127655029
2024-01-09,P0005,Atque Snack (Local),2.18,3.1837804317474365,-1.0037804317474364
2024-01-11,P0005,Atque Snack (Local),1.94,3.4670302867889404,-1.5270302867889405
2024-01-19,P0005,Atque Snack (Local),3.92,2.480825424194336,1.439174575805664
2024-01-27,P0005,Atque Snack (Local),2.34,3.110846519470215,-0.770846519470215
2024-02-08,P0005,Atque Snack (Local),1.24,3.3540842533111572,-2.114084253311157
2024-02-15,P0005,Atque Snack (Local),3.72,3.7577319145202637,-0.037731914520263476
2024-02-16,P0005,Atque Snack (Local),1.51,2.736440896987915,-1.226440896987915
2024-02-17,P0005,Atque Snack (Local),3.78,5.112487316131592,-1.332487316131592
2024-02-19,P0005,Atque Snack (Local),4.57,2.96865177154541,1.6013482284545901
2024-02-21,P0005,Atque Snack (Local),2.39,3.416389226913452,-1.026389226913452
2024-02-27,P0005,Atque Snack (Local),4.56,1.9526021480560303,2.6073978519439693
2024-02-28,P0005,Atque Snack (Local),4.78,2.795574426651001,1.9844255733489993
2024-03-10,P0005,Atque Snack (Local),0.1,3.941336154937744,-3.841336154937744
2024-03-14,P0005,Atque Snack (Local),0.1,2.2348740100860596,-2.1348740100860595
2024-03-28,P0005,Atque Snack (Local),5.0,2.2826998233795166,2.7173001766204834
2024-04-13,P0005,Atque Snack (Local),4.97,5.181330680847168,-0.21133068084716822
2024-04-27,P0005,Atque Snack (Local),7.79,3.3202333450317383,4.469766654968262
2024-05-06,P0005,Atque Snack (Local),5.57,2.434483051300049,3.1355169486999515
2024-05-10,P0005,Atque Snack (Local),0.82,3.0896832942962646,-2.269683294296265
2024-06-01,P0005,Atque Snack (Local),1.15,4.3604021072387695,-3.2104021072387696
2024-06-06,P0005,Atque Snack (Local),2.65,5.165797233581543,-2.515797233581543
2024-06-16,P0005,Atque Snack (Local),1.98,3.8354458808898926,-1.8554458808898926
2024-06-21,P0005,Atque Snack (Local),3.79,4.0708327293396,-0.2808327293395996
2024-07-02,P0005,Atque Snack (Local),4.04,3.2564589977264404,0.7835410022735596
2024-07-05,P0005,Atque Snack (Local),0.1,3.5091066360473633,-3.409106636047363
2024-07-08,P0005,Atque Snack (Local),1.46,2.2893218994140625,-0.8293218994140625
2024-07-17,P0005,Atque Snack (Local),3.67,3.825115442276001,-0.15511544227600105
2024-07-20,P0005,Atque Snack (Local),5.92,2.0778298377990723,3.8421701622009277
2024-07-25,P0005,Atque Snack (Local),0.1,2.694694995880127,-2.594694995880127
2024-08-03,P0005,Atque Snack (Local),2.89,4.075689792633057,-1.1856897926330565
2024-08-06,P0005,Atque Snack (Local),2.07,4.3764142990112305,-2.3064142990112306
2024-08-07,P0005,Atque Snack (Local),0.88,3.435467004776001,-2.555467004776001
2024-08-12,P0005,Atque Snack (Local),1.37,1.2981315851211548,0.07186841487884532
2024-08-14,P0005,Atque Snack (Local),0.29,2.8365633487701416,-2.5465633487701416
2024-08-22,P0005,Atque Snack (Local),2.7,2.099149227142334,0.6008507728576662
2024-08-29,P0005,Atque Snack (Local),3.71,2.7377872467041016,0.9722127532958984
2024-09-07,P0005,Atque Snack (Local),5.0,3.027503490447998,1.972496509552002
2024-09-12,P0005,Atque Snack (Local),1.61,3.2258002758026123,-1.6158002758026122
2024-09-15,P0005,Atque Snack (Local),2.94,3.004103422164917,-0.06410342216491705
2024-09-16,P0005,Atque Snack (Local),1.0,2.577946424484253,-1.577946424484253
2024-09-23,P0005,Atque Snack (Local),5.01,2.907625198364258,2.102374801635742
2024-10-02,P0005,Atque Snack (Local),6.39,5.628582000732422,0.7614179992675778
2024-10-04,P0005,Atque Snack (Local),0.52,2.9087860584259033,-2.3887860584259033
2024-10-17,P0005,Atque Snack (Local),4.77,2.320155620574951,2.4498443794250484
2024-10-29,P0005,Atque Snack (Local),5.3,2.4134953022003174,2.8865046977996824
2024-10-31,P0005,Atque Snack (Local),5.01,2.618623971939087,2.391376028060913
2024-11-02,P0005,Atque Snack (Local),6.49,3.600029468536377,2.8899705314636233
2024-11-04,P0005,Atque Snack (Local),5.18,3.1528637409210205,2.027136259078979
2024-11-12,P0005,Atque Snack (Local),2.46,3.066596031188965,-0.6065960311889649
2024-11-16,P0005,Atque Snack (Local),4.43,3.632646083831787,0.7973539161682126
2024-11-24,P0005,Atque Snack (Local),3.91,2.6987884044647217,1.2112115955352785
2024-11-26,P0005,Atque Snack (Local),2.96,3.9734840393066406,-1.0134840393066407
2024-12-03,P0005,Atque Snack (Local),4.38,2.2894210815429688,2.090578918457031
2024-12-17,P0005,Atque Snack (Local),2.64,2.977137565612793,-0.33713756561279284
2024-12-25,P0005,Atque Snack (Local),0.81,2.5428199768066406,-1.7328199768066406
